round,fl_accuracy_mean,fl_accuracy_std,fl_loss_mean,fl_loss_std,central_accuracy_mean,central_accuracy_std,central_loss_mean,central_loss_std,local_accuracy_mean,local_accuracy_std,local_loss_mean,local_loss_std
22,0.7125,0.08164965809277258,1.1671818753083547,0.3526366584329509,0.8791666666666668,0.0328083661417159,0.4953746825456619,0.11053016608484009,0.47812499999999997,0.004419417382415932,5.275555789470672,0.31877122427880733
23,0.7416666666666667,0.05237418787490223,0.9573140939076742,0.26226535263143486,0.8875000000000001,0.02700308624336609,0.48348516027132676,0.1158136752607733,0.45208333333333334,0.021398581858514728,5.444287546475728,0.35674888549215533
24,0.7625000000000001,0.05400617248673217,0.8877032319704692,0.18472882214362796,0.8875000000000001,0.02700308624336609,0.48221424520015715,0.11382965424979156,0.4614583333333333,0.012586506222494354,5.5408469319343565,0.21655904527898076
25,0.7958333333333334,0.04602233757161356,0.8935919225215913,0.20468495164656905,0.9041666666666668,0.021245914639969946,0.4598435034354527,0.12891024800992393,0.47500000000000003,0.0067507715608415226,5.6536700089772545,0.25668891370825614
26,0.7916666666666666,0.05237418787490223,0.8288200020790101,0.19023175013112817,0.8916666666666666,0.025685058345704073,0.4621483941872915,0.13344210828997236,0.46458333333333335,0.006421264586426018,5.282931180795034,0.3919227845008713
27,0.7958333333333334,0.04823265376162596,0.7785128851731619,0.1835764506236952,0.8958333333333334,0.015590239111558084,0.4703911542892456,0.1268713064332336,0.4916666666666667,0.006421264586426019,5.383341006437938,0.09910015110620027
28,0.7791666666666668,0.04249182927993988,0.8281230092048645,0.07515569170527157,0.9041666666666667,0.02124591463996995,0.45420785943667097,0.1487071636829562,0.4875,0.01552048377682431,5.838101857900619,0.33179482344804023
29,0.7916666666666666,0.015590239111558084,0.7347916225592295,0.08132234279150692,0.8875000000000001,0.010206207261596585,0.45523343185583753,0.1487523947032355,0.4916666666666667,0.014950729265007602,5.773506422837575,0.304617743005474
30,0.8333333333333334,0.025685058345704066,0.66866903702418,0.19344317900472052,0.9041666666666667,0.02124591463996995,0.4445385028918585,0.16290802906824303,0.4916666666666667,0.008960755486502702,5.912352776527405,0.3593409570310161
31,0.85,0.02041241452319317,0.6818251490592956,0.06965394732904828,0.9083333333333333,0.025685058345704066,0.4431563417116801,0.17194435967164592,0.4937500000000001,0.0076546554461974494,5.789682753880818,0.2429920096756557
32,0.8375,0.03061862178478971,0.6609116892019907,0.07498215993954144,0.8916666666666666,0.015590239111558084,0.4695985277493795,0.14847599139111536,0.5020833333333333,0.013093546968725554,6.116186344623565,0.6060319003190462
33,0.8416666666666667,0.021245914639969946,0.5846151729424794,0.09708404694306688,0.9083333333333333,0.025685058345704066,0.44414852460225424,0.1737474034255906,0.496875,0.006750771560841539,6.3652895053227745,0.3207380852048276
34,0.8375,0.02700308624336609,0.6405664732058843,0.04519834562165218,0.9083333333333333,0.025685058345704066,0.44922317266464235,0.1740976943984993,0.5229166666666667,0.013093546968725554,6.150028196970623,0.3152000478854704
35,0.8708333333333335,0.021245914639969946,0.5434328297773997,0.0874334458366172,0.9041666666666667,0.02124591463996995,0.4578019122282664,0.1698317625687955,0.515625,0.02041241452319317,6.3825846910476685,0.19183130577150007
36,0.8458333333333332,0.015590239111558123,0.5808008755246798,0.07215216170987224,0.9,0.02041241452319317,0.45332140574852625,0.18124068911039326,0.5104166666666666,0.005311478659992458,6.1253871003786715,0.044519608795028164
37,0.8416666666666667,0.021245914639969946,0.5808522184689839,0.11487512483519537,0.9083333333333333,0.025685058345704066,0.4486336067318916,0.18052474001205865,0.5229166666666666,0.009660019266141339,6.109259287516276,0.4176449742752972
38,0.8541666666666666,0.02946278254943948,0.5435501893361409,0.10106452593314601,0.9083333333333333,0.025685058345704066,0.45038753151893623,0.18977696287784393,0.5031249999999999,0.011692679333668594,6.369312294324239,0.16787487262275996
39,0.875,0.02041241452319317,0.5711171438296636,0.07964838619626723,0.9083333333333333,0.025685058345704066,0.45276194463173547,0.18535580131559906,0.5104166666666666,0.03445382376779421,6.484544861316681,0.25687544861569966
40,0.8666666666666667,0.02124591463996991,0.5357240080833435,0.053397933229729695,0.9125,0.03061862178478971,0.4547406554222107,0.18898990592542766,0.5208333333333334,0.00736569563735987,6.621968525648117,0.0681092782924313
