image_id,round,psnr,ssim,mse,label,inferred_label,seed
310,6,51.594024089469556,0.9993761383108252,6.9278358852814526e-06,31,31,0.0
399,6,44.50692333009293,0.9987874447805829,3.5424821206843024e-05,39,39,0.0
5,6,10.595714346148071,0.03624336590746554,0.0871823488234768,0,0,1.0
40,6,13.607953375586195,0.30196137853101923,0.043571715819273577,4,4,1.0
90,6,12.759350953348768,0.21969738370859962,0.05297426072217415,9,9,1.0
130,6,13.686957823172769,0.3320060358193906,0.04278624933615562,13,13,1.0
200,6,14.128339349021362,0.29368670289450205,0.03865147439293309,20,20,1.0
250,6,12.679192496407058,0.205968570733148,0.0539610945519127,25,25,1.0
310,6,12.063594564750655,0.07874695011460406,0.06217854333115499,31,31,1.0
399,6,12.308480897546325,0.24901447179066658,0.058769488418095976,39,39,1.0
5,6,38.650086390864985,0.9994314084806956,0.0001364555992254858,0,0,2.0
40,6,37.485738776179325,0.9950315960545733,0.00017841284655206822,4,4,2.0
90,6,28.06047014732791,0.9892562686761486,0.0015629784325910017,9,9,2.0
130,6,22.76587352693076,0.9424139863171699,0.005289475955720436,13,13,2.0
200,6,27.49248077713276,0.9413533893728903,0.001781360927702153,20,20,2.0
250,6,21.49049965920824,0.8842788740294573,0.007094961351806065,25,25,2.0
310,6,26.623129432930686,0.9349669446465694,0.0021761411266119956,31,31,2.0
399,6,35.101343653463736,0.9943577380196171,0.0003089339481179166,39,39,2.0
5,8,43.066010160699705,0.9851562842538873,4.936270881742994e-05,0,0,0.0
40,8,54.962947916163245,0.999949923170347,3.189372229236813e-06,4,4,0.0
90,8,39.639972390859526,0.9967617474084567,0.0001086432530306939,9,9,0.0
130,8,38.08032416100176,0.9997464323147682,0.00015558494973746083,13,13,0.0
200,8,57.036252501920316,0.9999670091870605,1.978676290233586e-06,20,20,0.0
250,8,41.50519847838951,0.9987130938760429,7.070988845776695e-05,25,25,0.0
310,8,52.02873183904955,0.9994393487999307,6.267968656771886e-06,31,31,0.0
399,8,50.645749908461674,0.9997700026641592,8.618367500881456e-06,39,39,0.0
5,8,8.42396490339765,0.20078563055543736,0.14374856225675328,0,0,1.0
40,8,25.475021405839286,0.9507505211131704,0.002834639661866009,4,4,1.0
90,8,29.08240671307954,0.9647695692165281,0.0012352627029386968,9,9,1.0
130,8,26.307672139783968,0.944152523086356,0.0023400912139677696,13,13,1.0
200,8,25.64861984232582,0.9347108806227102,0.002723566701127848,20,20,1.0
250,8,23.683781227096283,0.9396175942443562,0.004281755628481322,25,25,1.0
310,8,29.32244846750333,0.9374527853676136,0.0011688402359217465,31,31,1.0
399,8,24.98163806264219,0.9500655919853307,0.0031756760500271817,39,39,1.0
5,8,16.619104161588915,0.5682973799241121,0.021781590245001044,0,0,2.0
40,8,38.98712635898082,0.9973285500891954,0.00012626627372970631,4,4,2.0
90,8,30.381438605592678,0.9964299202392239,0.000915917041265874,9,9,2.0
130,8,22.361041989903644,0.9246061981518298,0.005806250931470759,13,13,2.0
200,8,6.614278296421374,0.09517150452280934,0.21805807324747234,20,20,2.0
250,8,20.668790841592035,0.890777823797988,0.008572764940815828,25,25,2.0
310,8,29.27122294132073,0.9769667694973747,0.001182708466823678,31,31,2.0
399,8,31.376600468584254,0.9901291237982466,0.0007283497125131072,39,39,2.0
5,10,55.447786477021324,0.9988991919074033,2.852471752002282e-06,0,0,0.0
40,10,52.19742855434256,0.9999487185703888,6.0291646558777515e-06,4,4,0.0
90,10,52.001773714647996,0.9999724252488519,6.306997059822052e-06,9,9,0.0
130,10,38.781438522779666,0.9998533946109063,0.00013239029433943436,13,13,0.0
200,10,65.73025218991677,0.999998174493134,2.6728511946967626e-07,20,20,0.0
250,10,35.52092219730729,0.9930662498721226,0.00028048379848200425,25,25,0.0
310,10,57.43403294803678,0.9999837248039607,1.805496725838969e-06,31,31,0.0
399,10,53.96717950072861,0.9999754381183438,4.01127142651489e-06,39,39,0.0
5,10,7.983708128184598,0.17413390679191507,0.15908498347625213,0,0,1.0
40,10,45.253999405390786,0.9996845354719237,2.982634654142679e-05,4,4,1.0
90,10,41.409986560412236,0.9990083300923469,7.227720402742076e-05,9,9,1.0
130,10,40.294292417848816,0.998911098115377,9.344816079636525e-05,13,13,1.0
200,10,37.275341762498556,0.994823756154322,0.0001872689708292876,20,20,1.0
250,10,29.852841923037627,0.9911459757913034,0.0010344650150732491,25,25,1.0
310,10,41.94933947032438,0.9979657468049034,6.383605687124757e-05,31,31,1.0
399,10,39.75709842165907,0.9991294092639669,0.00010575238187605224,39,39,1.0
5,10,4.697252520696997,0.012429276826214598,0.33905858710390513,0,0,2.0
40,10,39.57288343684092,0.9986879425021796,0.00011033458257955764,4,4,2.0
90,10,36.82797846352838,0.9996492040876483,0.00020758795646647846,9,9,2.0
130,10,29.367772453665033,0.9933798711532225,0.0011567053775546282,13,13,2.0
200,10,5.263125783414829,-0.045009745929853545,0.29763734485728954,20,20,2.0
250,10,5.726174536644098,0.041015321633363466,0.26753619515847227,25,25,2.0
310,10,42.45086592793817,0.9997380023715727,5.6873952011410496e-05,31,31,2.0
399,10,10.937173254937813,0.49877346929823696,0.08059028182488487,39,39,2.0
5,12,51.967153198152154,0.9983393621132923,6.357475280243351e-06,0,0,0.0
40,12,56.40773512924278,0.9999781671760839,2.2867910671854966e-06,4,4,0.0
90,12,52.38404382508671,0.9999245877658015,5.775580181699089e-06,9,9,0.0
130,12,5.656681127598003,0.028913662906357114,0.27185159613591786,13,13,0.0
200,12,63.6275399296924,0.9999979847758975,4.3375651110743457e-07,20,20,0.0
250,12,16.961951454634786,0.7577047884023752,0.02012819608211478,25,25,0.0
310,12,5.441716246184766,0.019696587559801564,0.2856461503022697,31,31,0.0
399,12,58.74933908672156,0.999992262848056,1.333724384105714e-06,39,39,0.0
5,12,44.01253141708936,0.9941219850476393,3.969601017895369e-05,0,0,1.0
40,12,59.201353952199185,0.9999847011864093,1.2018896762616346e-06,4,4,1.0
90,12,34.223104659762846,0.9992986403730367,0.0003781721425059406,9,9,1.0
130,12,49.69526421551407,0.9999630947757604,1.0726883857733495e-05,13,13,1.0
200,12,60.72105598714493,0.9999880798312927,8.470214358157965e-07,20,20,1.0
250,12,35.40267850088985,0.9962958800696539,0.00028822533319529126,25,25,1.0
310,12,55.09936168043006,0.999869800967192,3.090749672920827e-06,31,31,1.0
399,12,44.83289621488326,0.9997459408141733,3.286324000263425e-05,39,39,1.0
5,12,5.773059204285369,0.0065370543389623404,0.2646635171327936,0,0,2.0
40,12,39.43566583181247,0.9987009074491009,0.00011387631807904461,4,4,2.0
90,12,36.89550893384332,0.9992985963877671,0.00020438504106024338,9,9,2.0
130,12,29.802697978679134,0.9914108808419101,0.0010464782397313563,13,13,2.0
200,12,42.36239770422807,0.9994191251191408,5.804438707416801e-05,20,20,2.0
250,12,13.197554284308712,0.711584230060089,0.04788997072603601,25,25,2.0
310,12,34.869860968352256,0.9977466220070167,0.0003258471322509556,31,31,2.0
399,12,41.5399318364186,0.9988696468711642,7.014663080188825e-05,39,39,2.0
5,15,51.50245620305419,0.9980635479917889,7.075455105959479e-06,0,0,0.0
40,15,5.832381692838444,0.03511967812064031,0.2610729224669872,4,4,0.0
90,15,47.762741223006735,0.999961454378648,1.6738860025402105e-05,9,9,0.0
130,15,5.425155114891554,0.0558419937393755,0.2867374961086629,13,13,0.0
200,15,65.0420146257943,0.9999980538783572,3.131832577978749e-07,20,20,0.0
250,15,5.431473077531937,-0.0184893919526489,0.2863206638027709,25,25,0.0
310,15,40.017997827549706,0.9967254193677968,9.95864422209912e-05,31,31,0.0
399,15,60.9648702650409,0.9999919558482794,8.007795494991907e-07,39,39,0.0
5,15,6.534161249717539,0.046147619212676856,0.22211806172866166,0,0,1.0
40,15,5.4844851581470415,0.008705836984924071,0.2828469396936363,4,4,1.0
90,15,7.44065833963354,0.11911522028805321,0.18027444451753552,9,9,1.0
130,15,56.61191136407032,0.9999830140792231,2.1817694866536202e-06,13,13,1.0
200,15,59.036633608047765,0.9999896427489031,1.2483507864273838e-06,20,20,1.0
250,15,34.02464724521478,0.9943191970005013,0.0003958542167059563,25,25,1.0
310,15,52.4030990425938,0.9998792246843885,5.750294608442355e-06,31,31,1.0
399,15,41.55195118974453,0.999721009374245,6.995276429818884e-05,39,39,1.0
5,15,5.093174015638057,-0.014555910182749791,0.3095156395583297,0,0,2.0
40,15,42.916042155993246,0.9991502031082197,5.109704491548274e-05,4,4,2.0
90,15,4.900346606142945,-0.021590803007692436,0.32356783226953456,9,9,2.0
130,15,33.291400194518936,0.9968422556563783,0.0004686622579316039,13,13,2.0
200,15,40.4542873404062,0.999741937218433,9.00681548806296e-05,20,20,2.0
250,15,5.449328909011885,0.011206693135047246,0.28514588534608654,25,25,2.0
310,15,5.853513956300084,0.02408340020199774,0.25980565772743036,31,31,2.0
399,15,47.04559897094272,0.9997113089054956,1.974422551912023e-05,39,39,2.0
5,18,48.23458502649931,0.9967113269061693,1.5015558743348631e-05,0,0,0.0
40,18,35.16813136995408,0.9967635466122698,0.00030421937026203424,4,4,0.0
90,18,4.953980144635428,0.0020137876866629864,0.31959647863061735,9,9,0.0
130,18,9.013872913203883,0.058072223603237806,0.12549103716047727,13,13,0.0
200,18,59.644242622320164,0.9999947641525132,1.085364812781174e-06,20,20,0.0
250,18,4.578175888390598,-0.05297740219070111,0.34848365343686005,25,25,0.0
310,18,39.492466928854164,0.9934343827945297,0.00011239663444714918,31,31,0.0
399,18,6.170315333253732,0.10361087130688201,0.24152854586332095,39,39,0.0
5,18,6.466459661403649,0.057386660652926295,0.22560776015953737,0,0,1.0
40,18,56.56106961419297,0.9999873434474988,2.2074609954186517e-06,4,4,1.0
90,18,5.017727063106917,-0.006311775864285943,0.31493961604667464,9,9,1.0
130,18,48.542063164761174,0.9998998295065755,1.3989225907870377e-05,13,13,1.0
200,18,59.886300549451704,0.9999952080799674,1.0265259795189455e-06,20,20,1.0
250,18,5.560485956535946,0.024802625089431884,0.27794022474000135,25,25,1.0
310,18,10.51566868448078,0.3551656629369609,0.08880412338245319,31,31,1.0
399,18,47.9687743475007,0.9999266241226213,1.5963295948892044e-05,39,39,1.0
5,18,5.070835427444659,0.001766181714676167,0.3111117811608689,0,0,2.0
40,18,5.899589572606344,0.018427798435762654,0.25706387079582316,4,4,2.0
90,18,6.183738207567232,0.057316871771610794,0.24078319851942165,9,9,2.0
130,18,5.542166340590885,0.023087637736787577,0.27911512164742025,13,13,2.0
200,18,49.135744512037704,0.9999139672399034,1.22018462628019e-05,20,20,2.0
250,18,5.563693442500332,0.017286012379052914,0.27773502751028717,25,25,2.0
310,18,5.7486773745995725,0.027650691998471318,0.2661535495716987,31,31,2.0
399,18,5.41061815322635,0.03685402463319131,0.28769888892616136,39,39,2.0
5,20,38.63750571982474,0.9850105332636147,0.0001368514577864497,0,0,0.0
40,20,29.711650610809613,0.9852099549132067,0.0010686486437479605,4,4,0.0
90,20,5.71655047636436,0.06694977724062656,0.26812971857964635,9,9,0.0
130,20,8.428609244699594,0.05157963696208173,0.14359491984012424,13,13,0.0
200,20,49.52136699468425,0.9999523054633463,1.1165117568151875e-05,20,20,0.0
250,20,13.18361433349104,0.38984078082165396,0.04804393454883778,25,25,0.0
310,20,20.964046341051308,0.7708267525297944,0.00800931484211247,31,31,0.0
399,20,56.347249859950935,0.9999846474763802,2.318862588984033e-06,39,39,0.0
5,20,7.041965948119464,0.0994565287601103,0.1976074915368498,0,0,1.0
40,20,57.70257498743927,0.9999917302022078,1.6972370405609477e-06,4,4,1.0
90,20,9.580347459724868,0.2616964525704017,0.11014511837992988,9,9,1.0
130,20,56.72089027658949,0.9999870776236145,2.127702835468849e-06,13,13,1.0
200,20,59.81334765952377,0.9999928773877185,1.0439152308659716e-06,20,20,1.0
250,20,13.803954215088334,0.5933425891978217,0.041649000010740865,25,25,1.0
310,20,11.203657275738239,0.36375870903990326,0.07579390314493258,31,31,1.0
399,20,52.29783162403614,0.999956528215383,5.891377307556782e-06,39,39,1.0
5,20,5.219959468777038,0.014534048313840574,0.30061043574441415,0,0,2.0
40,20,5.822601367821165,0.025835277472939608,0.26166152200220905,4,4,2.0
90,20,5.737745062944589,0.03319869480392594,0.26682437062686504,9,9,2.0
130,20,5.245173795379264,0.00854641397063288,0.2988702043091501,13,13,2.0
200,20,59.24139526223493,0.9999847180977983,1.1908593579839505e-06,20,20,2.0
250,20,5.5098682425491585,-0.003384131279188571,0.28119861399114776,25,25,2.0
310,20,5.638136613262029,-0.0017106129881933913,0.2730148931025124,31,31,2.0
399,20,46.00069764538864,0.9995068935794206,2.511482957527275e-05,39,39,2.0
5,22,40.358472352525105,0.9796292555108674,9.207734003662763e-05,0,0,0.0
40,22,21.49122752157009,0.8506718143420501,0.0070937723607368925,4,4,0.0
90,22,19.423349273324124,0.8312419723482373,0.011419972882979388,9,9,0.0
130,22,6.101319017208391,0.07914101609572964,0.2453963497126555,13,13,0.0
200,22,6.2672921968786195,0.06616685094832885,0.23619504377807174,20,20,0.0
250,22,5.733267328627102,0.07396175155744918,0.2670996181438472,25,25,0.0
310,22,16.267373471125964,0.5442832619480075,0.023619062364482392,31,31,0.0
399,22,5.488828434709198,0.013791312300933854,0.28256421254614095,39,39,0.0
5,22,9.3950896275182,0.20765210292558262,0.11494525213501006,0,0,1.0
40,22,52.95277670088058,0.9999815800486175,5.066666628013826e-06,4,4,1.0
90,22,6.718383138908509,0.12443277910905293,0.21289314911924256,9,9,1.0
130,22,5.406748830844091,0.003271092340676096,0.2879553268602198,13,13,1.0
200,22,62.190794955414184,0.9999947208917209,6.038380895665579e-07,20,20,1.0
250,22,7.032245932886737,0.12159581452965976,0.198050255362054,25,25,1.0
310,22,6.087937962400714,0.04641741070743973,0.24615360682503035,31,31,1.0
399,22,46.61901727196121,0.9999134339993732,2.178202603529515e-05,39,39,1.0
5,22,5.117138664151163,0.01907340055157107,0.30781241594563236,0,0,2.0
40,22,5.723207662578047,0.011245430053270273,0.26771902441766054,4,4,2.0
90,22,5.548707250339594,0.02833415363698329,0.27869506273172096,9,9,2.0
130,22,5.702708431580554,0.042553077307184994,0.2689856780022832,13,13,2.0
200,22,54.632858268360316,0.999959401995719,3.441233746502917e-06,20,20,2.0
250,22,5.318224523758909,-0.006200483335840732,0.2938850863044632,25,25,2.0
310,22,5.681165776110198,0.02967561703619357,0.27032326383261396,31,31,2.0
399,22,46.92888647864284,0.9995494732028303,2.0282026794997583e-05,39,39,2.0
5,25,4.869872445492561,0.005387765616229622,0.32584627113287334,0,0,0.0
40,25,5.207771581467285,-0.019459303998145,0.3014552431432186,4,4,0.0
90,25,5.144889015686602,0.04044865886307835,0.3058518406202235,9,9,0.0
130,25,5.214568498973241,-0.01581539656482472,0.30098382018591147,13,13,0.0
200,25,5.326506954180733,-0.017657275349017714,0.2933251521271496,20,20,0.0
250,25,6.957827150012737,0.008436352026379075,0.20147320028156804,25,25,0.0
310,25,5.234783375146068,0.002041116777364924,0.2995861021397982,31,31,0.0
399,25,5.195488794081452,0.0037964268732396606,0.3023090305583085,39,39,0.0
5,25,7.247303185412215,0.08585373091974197,0.18848191319575405,0,0,1.0
40,25,47.932230318310914,0.9999202965890323,1.6098187008376647e-05,4,4,1.0
90,25,5.384652512870646,0.01723407497403058,0.28942413814615137,9,9,1.0
130,25,5.502684954815365,0.03826885114587287,0.281664105047584,13,13,1.0
200,25,56.849900334148714,0.9999869470103102,2.0654275545784265e-06,20,20,1.0
250,25,5.831127450466143,0.06207179580903819,0.2611483312099967,25,25,1.0
310,25,7.826123487563236,0.16089252841702636,0.16496341980044235,31,31,1.0
399,25,56.14339455919027,0.9999728618841355,2.4303036776163536e-06,39,39,1.0
5,25,5.288638190827553,0.01192861754855371,0.295894015048682,0,0,2.0
40,25,5.794409267333832,0.011248366775676826,0.2633656152444061,4,4,2.0
90,25,5.473931730769923,0.03145868656010592,0.2835350981911865,9,9,2.0
130,25,5.602100101202869,0.020610993185440275,0.2752897173473662,13,13,2.0
200,25,17.629769191261115,0.7141201565716061,0.01725929615249222,20,20,2.0
250,25,5.576899112408969,0.015720071008200668,0.27689179631350663,25,25,2.0
310,25,5.412793417798332,-0.0018427375059638395,0.28755482435150337,31,31,2.0
399,25,47.14760478017166,0.9996601722538335,1.9285882744490314e-05,39,39,2.0
5,30,5.1426131026811595,-0.0009340697230949619,0.3060121637732129,0,0,0.0
40,30,11.968623373464858,0.08965155410611071,0.0635532350955129,4,4,0.0
90,30,5.1063302637923105,0.00473599838036812,0.30857943080496725,9,9,0.0
130,30,6.310906989945277,0.03765075984013544,0.23383488418561985,13,13,0.0
200,30,5.908880953547543,0.11200427997370742,0.25651449121775394,20,20,0.0
250,30,6.263997824092557,0.06056087509376017,0.23637427924012577,25,25,0.0
310,30,5.673037614724098,-0.0021603469134821975,0.2708296687341039,31,31,0.0
399,30,5.4317629482491,-0.0004911814229739379,0.2863015539107774,39,39,0.0
5,30,54.08160817090476,0.9998749870425179,3.906961961415607e-06,0,0,1.0
40,30,19.356251468821995,0.8230589832546381,0.011597779648125188,4,4,1.0
90,30,17.995639497804504,0.7171521150368699,0.01586485292091564,9,9,1.0
130,30,5.1760038481140915,-0.0055973476081254275,0.3036684097777201,13,13,1.0
200,30,6.944848081019145,0.1802662435869417,0.20207621183042024,20,20,1.0
250,30,5.455335376965341,-0.006459100639109755,0.28475178966692016,25,25,1.0
310,30,36.051530481212424,0.9981130495405842,0.00024822581876620016,31,31,1.0
399,30,5.111093565601762,-0.0035072188266885356,0.30824116926719425,39,39,1.0
5,30,5.105500391071419,0.008583139911692208,0.3086384014184098,0,0,2.0
40,30,5.699413350194868,0.017144889885036804,0.2691898403991983,4,4,2.0
90,30,5.4256759224122595,0.03124487367237133,0.2867031125056319,9,9,2.0
130,30,5.709318105470365,0.016384047057457107,0.2685766110110986,13,13,2.0
200,30,16.752732892697303,0.6975358129373296,0.021121594991524228,20,20,2.0
250,30,5.598528064913477,0.017458406135386167,0.2755162340103369,25,25,2.0
310,30,5.521121028232604,0.01650037145787518,0.28047095752295204,31,31,2.0
399,30,6.957198648397583,0.16621404125474826,0.20150235915879167,39,39,2.0
5,40,5.1341078249222525,0.0032428311255848314,0.30661204906346656,0,0,0.0
40,40,5.587293801038453,0.019916141531804415,0.2762298578289242,4,4,0.0
90,40,5.442456111141732,-0.009343827967862884,0.285597491711244,9,9,0.0
130,40,5.285095652682549,0.020003823150853195,0.2961354741299605,13,13,0.0
200,40,5.403678944069582,-0.013903588514543524,0.28815894509440576,20,20,0.0
250,40,5.316087878340174,-0.002545348024126154,0.29402970769365977,25,25,0.0
310,40,5.588378764169041,0.018337658692636878,0.2761608581544663,31,31,0.0
399,40,5.4051635277898775,0.00818128961680747,0.2880604582412651,39,39,0.0
5,40,4.814620499970199,-0.0038914436651809664,0.33001824467184626,0,0,1.0
40,40,5.361466038423385,0.029885190321280154,0.29097347194511725,4,4,1.0
90,40,5.554740406693977,0.0058363716681107585,0.2783081723604632,9,9,1.0
130,40,5.091015916832383,-0.0035654469768908186,0.30966948248064946,13,13,1.0
200,40,5.560586967444965,0.029802254556471806,0.27793376030873795,20,20,1.0
250,40,5.032689463279443,-0.01185445999587159,0.31385644674514845,25,25,1.0
310,40,5.269844450857139,0.010129508184567825,0.2971772468361419,31,31,1.0
399,40,5.080285343795894,-0.002960830350773667,0.31043556164563624,39,39,1.0
5,40,5.078972186210705,0.0038027266721935523,0.3105294409062536,0,0,2.0
40,40,5.54256999546147,-0.013385604910609625,0.27908918050672277,4,4,2.0
90,40,5.490737374290316,0.01629137862987555,0.2824400388567918,9,9,2.0
130,40,5.694471697455351,0.03278910849115205,0.26949631443196553,13,13,2.0
200,40,5.235275289953912,-0.062487232931760714,0.2995521706716,20,20,2.0
250,40,5.580858335246907,0.015569262493411545,0.2766394843883493,25,25,2.0
310,40,5.5301647028845355,0.006404590155052812,0.27988751724059535,31,31,2.0
399,40,14.599214628250705,0.636522087640322,0.034679955950418895,39,39,2.0
5,50,6.377779898543862,0.04821629538662713,0.23026186089013695,0,0,0.0
40,50,5.251132084776962,-0.002354534332868172,0.29846045142222477,4,4,0.0
90,50,5.330369362411153,-0.020168386265532724,0.2930643986784695,9,9,0.0
130,50,5.577333617570851,0.003472688218492592,0.27686409508737314,13,13,0.0
200,50,5.358776311294124,-0.014908783896211463,0.2911537371064379,20,20,0.0
250,50,5.028671513531622,0.0026563392670073504,0.314146950771546,25,25,0.0
310,50,5.5483371578789615,0.01889736604816025,0.27871881328364323,31,31,0.0
399,50,5.576175914287527,0.01569596802954519,0.27693790887285913,39,39,0.0
5,50,8.540817340200306,0.1285514269033234,0.13993239456722434,0,0,1.0
40,50,10.453066647933083,0.0033699952859306223,0.09009347433003984,4,4,1.0
90,50,5.526827929092875,0.010686317343734252,0.2801026432066057,9,9,1.0
130,50,5.6691776727251195,0.01636759810752239,0.27107048494429115,13,13,1.0
200,50,5.77565379219613,-0.02087856518617962,0.2645054475032256,20,20,1.0
