round,iid_acc_mean,iid_acc_std,dirichlet_a1.0_acc_mean,dirichlet_a1.0_acc_std,dirichlet_a0.1_acc_mean,dirichlet_a0.1_acc_std
22,0.7875,0.010206207261596585,0.775,0.03061862178478971,0.6124999999999999,0.0770551750371122
23,0.7916666666666666,0.02946278254943948,0.7625000000000001,0.03679900360969937,0.6416666666666667,0.06947221666888781
24,0.7958333333333334,0.02124591463996991,0.8333333333333334,0.005892556509887928,0.6291666666666667,0.023570226039551553
25,0.8041666666666666,0.031180478223116204,0.8291666666666666,0.011785113019775804,0.7166666666666667,0.041247895569215265
26,0.8125,0.02041241452319317,0.8416666666666667,0.03118047822311616,0.6708333333333334,0.02946278254943948
27,0.7958333333333334,0.015590239111558084,0.8416666666666668,0.021245914639969946,0.6791666666666666,0.03864007706456543
28,0.8375,0.04082482904638629,0.8833333333333333,0.03280836614171587,0.7124999999999999,0.010206207261596585
29,0.7916666666666666,0.011785113019775802,0.8624999999999999,0.03679900360969937,0.7333333333333334,0.05621140651346685
30,0.8166666666666668,0.025685058345704066,0.8833333333333333,0.023570226039551605,0.7375000000000002,0.020412414523193124
31,0.8458333333333332,0.015590239111558123,0.8583333333333334,0.011785113019775802,0.725,0.04448782605013046
32,0.8291666666666666,0.023570226039551608,0.8458333333333332,0.03864007706456545,0.7666666666666666,0.03584302194601095
33,0.8416666666666668,0.015590239111558123,0.8541666666666666,0.015590239111558084,0.7791666666666668,0.015590239111558123
34,0.8583333333333334,0.023570226039551608,0.8833333333333334,0.015590239111558074,0.8125,0.05400617248673217
35,0.85,0.027003086243366076,0.8416666666666667,0.005892556509887875,0.8208333333333333,0.03584302194601095
36,0.85,0.0,0.8833333333333334,0.035843021946010946,0.7541666666666668,0.04249182927993986
37,0.8666666666666667,0.021245914639969915,0.8958333333333334,0.021245914639969964,0.8125,0.027003086243366076
38,0.8500000000000001,0.010206207261596585,0.9041666666666667,0.011785113019775804,0.7916666666666666,0.015590239111558084
39,0.85,0.010206207261596585,0.9041666666666667,0.005892556509887875,0.8208333333333333,0.031180478223116207
40,0.875,0.017677669529663678,0.8833333333333334,0.015590239111558074,0.8125,0.046770717334674285
41,0.8708333333333332,0.015590239111558084,0.8874999999999998,1.1102230246251565e-16,0.7833333333333333,0.015590239111558123
42,0.8708333333333332,0.005892556509887875,0.8916666666666666,0.015590239111558084,0.7833333333333333,0.02124591463996995
43,0.8666666666666667,0.005892556509887875,0.8875000000000001,0.010206207261596585,0.8000000000000002,0.04448782605013044
44,0.8958333333333334,0.011785113019775804,0.9083333333333332,0.015590239111558123,0.7999999999999999,0.053033008588991085
45,0.9041666666666667,0.023570226039551605,0.9,0.02041241452319317,0.8083333333333332,0.015590239111558084
46,0.8833333333333333,0.02124591463996991,0.8833333333333334,0.02946278254943948,0.8208333333333333,0.03864007706456543
47,0.8708333333333332,0.04124789556921531,0.9208333333333334,0.005892556509887927,0.8333333333333334,0.03118047822311617
48,0.8958333333333334,0.021245914639969964,0.8833333333333334,0.015590239111558074,0.8458333333333332,0.015590239111558123
49,0.8958333333333334,0.025685058345704066,0.9041666666666667,0.011785113019775804,0.8291666666666666,0.021245914639969915
50,0.9083333333333332,0.015590239111558123,0.8958333333333334,0.005892556509887928,0.8041666666666667,0.05137011669140813
